NUMBER,DESCRIPTION
200,PROGRAMMING-I
202,INTRODUCTION-TO-COMPUTATION
220,DATA-PROGRAMMING-I
240,INTRODUCTION-TO-DISCRETE-MATHEMATICS
250,DIGITAL-SOCIETY:-THE-IMPACT-OF-COMPUTERS-AND-COMPUTER-TECHNOLOGY
252,INTRODUCTION-TO-COMPUTER-ENGINEERING
270,FUNDAMENTALS-OF-HUMAN-COMPUTER-INTERACTION
298,DIRECTED-STUDY-IN-COMPUTER-SCIENCE
300,PROGRAMMING-II
304,WES-CS-GROUP-MEETING
310,PROBLEM-SOLVING-USING-COMPUTERS
319,DATA-PROGRAMMING-I-FOR-RESEARCH
320,DATA-PROGRAMMING-II
354,DIGITAL-SYSTEM-FUNDAMENTALS
368,MACHINE-ORGANIZATION-AND-PROGRAMMING
369,LEARNING-A-PROGRAMMING-LANGUAGE
371,WEB-PROGRAMMING
400,PROGRAMMING-III
402,INTRODUCING-COMPUTER-SCIENCE-TO-K-12-STUDENTS
407,FOUNDATIONS-OF-MOBILE-SYSTEMS-AND-APPLICATIONS
412,INTRODUCTION-TO-NUMERICAL-METHODS
425,INTRODUCTION-TO-COMBINATORIAL-OPTIMIZATION
435,INTRODUCTION-TO-CRYPTOGRAPHY
471,INTRODUCTION-TO-COMPUTATIONAL-STATISTICS
475,INTRODUCTION-TO-COMBINATORICS
502,THEORY-AND-PRACTICE-IN-COMPUTER-SCIENCE-EDUCATION
506,SOFTWARE-ENGINEERING
513,NUMERICAL-LINEAR-ALGEBRA
514,NUMERICAL-ANALYSIS
518,WEARABLE-TECHNOLOGY
520,INTRODUCTION-TO-THEORY-OF-COMPUTING
524,ÿINTRODUCTION-TO-OPTIMIZATION
526,LINEAR-OPTIMIZATION
532,MATRIX-METHODS-IN-MACHINE-LEARNING
533,IMAGE-PROCESSING
534,COMPUTATIONAL-PHOTOGRAPHY
536,INTRODUCTION-TO-PROGRAMMING-LANGUAGES-AND-COMPILERS
537,INTRODUCTION-TO-OPERATING-SYSTEMS
538,INTRODUCTION-TO-THE-THEORY-AND-DESIGN-OF-PROGRAMMING-LANGUAGES
539,INTRODUCTION-TO-ARTIFICIAL-NEURAL-NETWORKS
540,INTRODUCTION-TO-ARTIFICIAL-INTELLIGENCE
545,NATURAL-LANGUAGE-AND-COMPUTING
547,COMPUTER-SYSTEMS-MODELING-FUNDAMENTALS
552,INTRODUCTION-TO-COMPUTER-ARCHITECTURE
558,INTRODUCTION-TO-COMPUTATIONAL-GEOMETRY
559,COMPUTER-GRAPHICS
564,DATABASE-MANAGEMENT-SYSTEMS:-DESIGN-AND-IMPLEMENTATION
567,MEDICAL-IMAGE-ANALYSIS
570,INTRODUCTION-TO-HUMAN-COMPUTER-INTERACTION
576,INTRODUCTION-TO-BIOINFORMATICS
577,INTRODUCTION-TO-ALGORITHMS
578,CONTEST-LEVEL-PROGRAMMING
579,VIRTUAL-REALITY
611,USER-EXPERIENCE-DESIGN-1
612,USER-EXPERIENCE-DESIGN-2
613,USER-EXPERIENCE-DESIGN-3
614,USER-EXPERIENCE-DESIGN-4
